latitude,longitude,event_date,day_offset,precip_mm,temp_max_c,fuel_moist_100hr_pct,burning_index,vpd_kpa
36.8113799990946,-107.6741,2014-07-02,-2,0.0,33.950000000000045,4.3,75.0,2.88
36.8113799990946,-107.6741,2014-07-02,-1,0.0,33.05000000000001,4.3,71.0,2.73
37.4727699990888,-108.7871,2016-05-10,-60,0.0,9.75,10.3,46.0,0.4
37.4727699990888,-108.7871,2016-05-10,-59,0.0,11.850000000000025,10.6,44.0,0.48
37.4727699990888,-108.7871,2016-05-10,-58,0.0,13.150000000000034,11.0,52.0,0.7
37.4727699990888,-108.7871,2016-05-10,-57,0.0,8.650000000000034,10.3,52.0,0.5
37.4727699990888,-108.7871,2016-05-10,-56,0.0,10.75,9.6,49.0,0.59
37.4727699990888,-108.7871,2016-05-10,-55,0.0,14.350000000000025,8.8,36.0,0.78
37.4727699990888,-108.7871,2016-05-10,-54,0.0,13.75,8.5,47.0,0.78
37.4727699990888,-108.7871,2016-05-10,-53,0.0,14.350000000000025,8.0,58.0,0.76
37.4727699990888,-108.7871,2016-05-10,-52,0.0,16.650000000000034,7.8,47.0,0.79
37.4727699990888,-108.7871,2016-05-10,-51,0.0,19.25,7.8,63.0,1.07
37.4727699990888,-108.7871,2016-05-10,-50,0.0,16.25,8.8,73.0,0.81
37.4727699990888,-108.7871,2016-05-10,-49,0.0,6.75,9.4,69.0,0.36
37.4727699990888,-108.7871,2016-05-10,-48,0.0,11.450000000000044,9.4,49.0,0.54
37.4727699990888,-108.7871,2016-05-10,-47,2.2,10.75,10.0,0.0,0.55
37.4727699990888,-108.7871,2016-05-10,-46,0.0,7.350000000000023,10.9,48.0,0.4
37.4727699990888,-108.7871,2016-05-10,-45,0.0,11.150000000000034,10.3,45.0,0.44
37.4727699990888,-108.7871,2016-05-10,-44,0.0,15.25,9.6,68.0,0.76
37.4727699990888,-108.7871,2016-05-10,-43,1.7,8.050000000000011,12.2,0.0,0.39
37.4727699990888,-108.7871,2016-05-10,-42,0.4,4.150000000000034,12.6,0.0,0.25
37.4727699990888,-108.7871,2016-05-10,-41,0.0,8.650000000000034,12.2,47.0,0.45
37.4727699990888,-108.7871,2016-05-10,-40,0.0,11.25,11.2,53.0,0.56
37.4727699990888,-108.7871,2016-05-10,-39,0.0,14.350000000000025,10.3,42.0,0.66
