precip_mm_mean,rh_max_pct_mean,rh_min_pct_mean,spec_humidity_kgkg_mean,solar_rad_wm2_mean,temp_min_c_mean,temp_max_c_mean,wind_speed_ms_mean,burning_index_mean,fuel_moist_100hr_pct_mean,fuel_moist_1000hr_pct_mean,energy_release_component_mean,evapotrans_mm_mean,pot_evapotrans_mm_mean,vpd_kpa_mean,precip_mm_max,rh_max_pct_max,rh_min_pct_max,spec_humidity_kgkg_max,solar_rad_wm2_max,temp_min_c_max,temp_max_c_max,wind_speed_ms_max,burning_index_max,fuel_moist_100hr_pct_max,fuel_moist_1000hr_pct_max,energy_release_component_max,evapotrans_mm_max,pot_evapotrans_mm_max,vpd_kpa_max,precip_mm_min,rh_max_pct_min,rh_min_pct_min,spec_humidity_kgkg_min,solar_rad_wm2_min,temp_min_c_min,temp_max_c_min,wind_speed_ms_min,burning_index_min,fuel_moist_100hr_pct_min,fuel_moist_1000hr_pct_min,energy_release_component_min,evapotrans_mm_min,pot_evapotrans_mm_min,vpd_kpa_min,precip_mm_std,rh_max_pct_std,rh_min_pct_std,spec_humidity_kgkg_std,solar_rad_wm2_std,temp_min_c_std,temp_max_c_std,wind_speed_ms_std,burning_index_std,fuel_moist_100hr_pct_std,fuel_moist_1000hr_pct_std,energy_release_component_std,evapotrans_mm_std,pot_evapotrans_mm_std,vpd_kpa_std,precip_mm_slope,rh_max_pct_slope,rh_min_pct_slope,spec_humidity_kgkg_slope,solar_rad_wm2_slope,temp_min_c_slope,temp_max_c_slope,wind_speed_ms_slope,burning_index_slope,fuel_moist_100hr_pct_slope,fuel_moist_1000hr_pct_slope,energy_release_component_slope,evapotrans_mm_slope,pot_evapotrans_mm_slope,vpd_kpa_slope,label,latitude,longitude,event_date,is_weekend,is_holiday,is_july4_week,pop_density,land_cover_code,lc_agriculture,lc_barren,lc_developed,lc_forest,lc_grassland,lc_shrubland,lc_water,lc_wetland,dist_to_transmission_m,predicted_proba,predicted_label
0.1949999999999999,46.18833333333332,14.495,0.0041989999999999,323.91833333333335,9.74833333333336,26.575000000000024,3.5433333333333334,63.483333333333334,5.946666666666668,7.295000000000001,80.81666666666666,9.053333333333336,6.673333333333333,1.8905,3.9,88.6,49.6,0.00899,356.2,16.350000000000023,34.950000000000045,6.3,99.0,11.2,8.9,96.0,13.0,9.0,3.04,0.0,26.9,5.1,0.00255,189.3,-0.75,10.150000000000034,1.8,0.0,4.0,5.3,47.0,3.7,3.0,0.44,0.7385627935389109,14.773028257229084,8.905062698637593,0.0012087592812466,35.69882580546437,4.072897889982298,5.745422090673586,1.1863623205225102,22.749719167985837,1.805682388707629,1.1377499725335083,11.68259626776324,2.1637518855502407,1.410066980284585,0.6612045195449489,-0.0070380661294804,-0.3444429008057794,-0.1836260072242289,1.6150041678243955e-05,1.0149736037788275,0.1827535426507364,0.2345401500416783,-0.0022728535704362,0.4863851069741596,-0.05828841344818,-0.0591247568769102,0.4688802445123645,0.0741261461517088,0.05279799944429,0.0276040566824117,0,36.8113799990946,-107.6741,2014-07-02,0,0,1,0.0,22,False,False,True,False,False,False,False,False,3962.608856634249,0.12333333333333334,0
0.6549999999999999,68.00500000000001,29.221666666666668,0.0036888333333333,238.005,0.6633333333333534,14.401666666666689,4.1033333333333335,37.61666666666667,10.29,11.783333333333331,51.45,4.968333333333334,3.6766666666666663,0.7051666666666667,9.5,92.9,53.1,0.00571,325.7,10.25,24.850000000000023,9.2,78.0,13.6,14.1,64.0,9.9,7.0,1.59,0.0,48.2,15.2,0.00236,146.6,-5.949999999999989,4.150000000000034,1.4,0.0,7.8,10.8,35.0,2.3,1.8,0.24,1.6008773636145068,11.202178731538492,9.027533654818956,0.0007963794984525,40.15307553600347,3.4984980904509406,4.740481398432955,1.730988798988088,25.448701123807655,1.5439883419248994,0.7452441807145419,8.468421734105279,1.6071187123406772,1.081259553586567,0.3046937898211179,0.0303167546540705,0.0984856904695748,0.0654042789663795,2.9305640455682135e-05,1.3817199222006116,0.096398999722145,0.0761294804112254,-0.004156710197277,-0.39597110308419,0.0278521811614337,-0.021511530980828,-0.1047235343150875,0.0306890803000833,0.0269241455959988,0.0026621283689913,0,37.4727699990888,-108.7871,2016-05-10,0,0,0,0.9366900563240051,42,False,False,False,True,False,False,False,False,567.9965289977657,0.14666666666666667,0
0.65,65.17333333333333,23.523333333333333,0.0054631666666666,340.87333333333333,8.110000000000024,24.801666666666687,3.7266666666666666,44.85,8.826666666666666,11.806666666666668,56.93333333333333,8.288333333333332,6.28,1.4331666666666665,9.6,88.1,48.6,0.00766,361.8,15.150000000000034,31.350000000000023,7.1,72.0,16.7,17.6,75.0,10.7,7.7,2.05,0.0,50.0,15.2,0.00302,268.7,0.4500000000000455,11.350000000000025,1.8,0.0,6.3,8.0,20.0,4.3,3.7,0.48,1.824326359691891,7.721460713851721,7.793808796445776,0.0010948005779846,17.676753724092617,3.224965116090402,4.909089924709969,1.1644550466014374,23.29150417355364,3.047067807289858,3.2702123614360104,18.47959836023379,1.4470765548358373,0.943716058992322,0.4434091100652859,-0.0546651847735482,-0.1517754931925534,-0.2919255348707974,1.6627118644067798e-05,0.3338649624895806,0.0840789108085577,0.1963628785773828,-0.0009391497638232,1.0936093359266463,-0.1295637677132536,-0.1810614059460961,0.9884412336760212,0.0625257015837732,0.0414337315921089,0.0181864406779661,0,40.2315999990696,-120.4917,2019-07-23,0,0,0,0.3454304337501526,71,False,False,False,False,True,False,False,False,3292.4860243085955,0.17333333333333334,0
0.0,55.03833333333333,15.775000000000002,0.0076075,298.18666666666667,19.93666666666669,38.40500000000002,2.8416666666666672,63.8,6.408333333333333,6.165000000000001,86.0,10.405,7.495,3.3901666666666666,0.0,82.3,27.9,0.01169,340.6,25.25,43.150000000000034,4.0,72.0,8.6,6.7,94.0,13.2,9.1,4.79,0.0,30.6,4.7,0.00321,221.3,14.650000000000034,33.55000000000001,1.7,51.0,4.5,5.3,79.0,7.7,6.2,2.19,0.0,12.876853803972804,6.003544092173111,0.0019287738981021,22.18967077017793,2.1444864705150763,2.2069152679702064,0.476197321379372,3.776241517699841,1.003708401656355,0.2959870492662362,3.4009802508492557,0.932813843522204,0.6280724480503822,0.6505497461549133,0.0,-0.3929174770769658,-0.2260433453737149,-8.083161989441512e-05,-0.7786829674909695,-0.0484078910808556,0.0120672409002502,-0.0081550430675187,0.0357321478188385,-0.0362517365934982,0.0060933592664629,0.1027507641011392,-0.0138677410391775,-0.0194637399277577,0.0111933870519588,0,35.8888789991036,-120.046328,2014-09-14,1,0,0,0.0,22,False,False,True,False,False,False,False,False,11584.480315837944,0.16333333333333333,0
0.1316666666666666,60.52166666666667,18.641666666666666,0.0061643333333333,302.40166666666664,15.851666666666686,33.52833333333335,3.6516666666666664,54.916666666666664,8.063333333333334,10.371666666666668,65.63333333333334,10.456666666666669,7.378333333333334,2.650166666666667,4.8,100.0,75.8,0.00965,349.0,21.15000000000003,42.85000000000002,7.4,92.0,17.8,14.1,90.0,17.0,11.2,5.03,0.0,25.5,2.6,0.00295,128.9,6.75,18.25,2.2,0.0,3.4,6.6,24.0,2.2,2.0,0.14,0.6905291851584227,19.861840227487033,13.274766685541238,0.0016465472628773,47.407181212929714,3.987459160362099,6.066357821808917,1.0420319359576058,18.547499082685572,3.5475797696770996,2.545197547451977,16.90361565530352,2.953606082213552,1.9166021728279683,1.182785542221788,-0.0072881355932203,-0.6100111141983884,-0.3239761044734648,-1.307029730480689e-06,1.8568130036121144,0.1868435676576831,0.242470130591831,0.000858571825507,0.7401778271742151,-0.1277188107807724,-0.1376632397888302,0.8274520700194499,0.113603778827452,0.0789247013059183,0.0441608780216726,0,33.5697729991303,-116.078473,2020-05-26,0,0,0,1718.7318115234375,23,False,False,True,False,False,False,False,False,30.424508591518954,0.29333333333333333,0
0.7833333333333333,72.24,23.02166666666667,0.004746,285.3933333333334,4.625000000000025,21.10166666666669,3.845,36.95,10.061666666666666,12.69,50.36666666666667,6.871666666666667,5.165000000000001,1.1836666666666666,14.8,94.1,71.1,0.0077,323.7,13.25,33.35000000000002,8.5,84.0,16.1,15.8,72.0,11.6,8.3,2.45,0.0,44.7,8.0,0.00281,174.2,-3.349999999999966,1.650000000000034,1.1,0.0,5.7,9.2,23.0,1.9,1.7,0.11,2.11511754335834,13.075921892292463,12.6567648797875,0.0010140926979324,37.774294022375706,4.270621539463937,7.490338035688969,1.6087702342679846,23.919604929847814,2.9342285565753436,1.950529842547062,14.026126415451357,2.405763334624215,1.6293991735196955,0.5890443295900761,-0.0245401500416782,-0.3040011114198388,-0.3302722978605168,3.4974715198666296e-05,1.036904695748819,0.1716782439566547,0.2870047235343153,0.0042095026396221,0.8073075854404002,-0.1114893025840511,-0.1027340928035565,0.6248402333981661,0.100152820227841,0.0692664629063628,0.0226890803000833,0,41.5661924990634,-109.239869,2017-06-23,0,0,0,5.150928401947022,22,False,False,True,False,False,False,False,False,2518.4647753478057,0.2733333333333333,0
2.526666666666667,89.27999999999999,43.54833333333333,0.0059953333333333,133.5066666666667,4.926666666666689,18.19166666666668,4.431666666666667,19.766666666666666,17.040000000000003,20.018333333333334,21.916666666666668,3.48,2.373333333333334,0.605,49.5,100.0,78.3,0.01322,180.1,21.950000000000045,28.25,9.3,47.0,22.7,22.5,44.0,10.5,6.6,1.53,0.0,31.2,9.4,0.00257,35.0,-2.0499999999999545,8.25,1.3,0.0,8.7,15.4,6.0,0.5,0.5,0.0,9.222795430646586,15.790796897771394,16.047611366043096,0.0027054029069417,33.22155859612182,5.863172254751597,5.50085725642427,1.720028262041709,12.757176629472353,3.333226664959945,1.804022511561932,9.3475338399435,1.8289158901746505,1.1309091721069184,0.3684992085020898,-0.1150041678243956,-0.2317699360933592,-0.3922784106696305,-5.029119199777716e-05,1.2190775215337597,-0.0781494859683245,0.0721672686857461,-0.0014976382328424,0.3863851069741595,-0.0923867741039177,-0.0817754931925534,0.3775215337593776,0.0440511253125868,0.0285523756599055,0.0094592942484023,0,30.4666669991749,-95.081667,2016-02-17,0,0,0,21.98673286437988,21,False,False,True,False,False,False,False,False,7725.065287598386,0.34,0
0.4016666666666666,53.49333333333333,23.695000000000004,0.0054851666666666,323.8333333333333,12.830000000000023,28.986666666666693,2.813333333333333,46.35,7.609999999999999,10.825,63.43333333333333,8.366666666666667,6.288333333333332,1.978,11.6,100.0,75.9,0.00762,372.7,19.65000000000003,40.05000000000001,5.5,78.0,16.0,15.2,88.0,15.1,10.5,3.91,0.0,28.7,10.9,0.0036,130.2,5.9500000000000455,13.650000000000034,0.7,0.0,4.6,6.7,23.0,2.0,1.8,0.12,1.8412397695272849,15.20177475019136,11.381350608195262,0.0009796232127144,52.674407658959225,3.2566751961676066,5.732741248497287,1.0218393002598578,15.719229200780385,2.4627017683836585,2.7754654264345167,16.039915488832506,2.441493167897238,1.6109098533299606,0.8265446146458157,-0.0246040566824117,-0.4597721589330368,-0.3589636010002778,-4.450402889691583e-06,1.8546151708808003,0.1126312864684633,0.2073020283412058,-0.0040677966101694,0.6598221728257848,-0.1055793275909975,-0.157407613225896,0.8573492636843567,0.0793887190886357,0.0585023617671575,0.0305779383161989,0,39.2880555590752,-121.39194444,2014-06-15,1,0,0,27.019968795776368,21,False,False,True,False,False,False,False,False,953.0111724962925,0.18666666666666668,0
0.4866666666666666,84.55333333333333,43.120000000000005,0.0031738333333333,212.17666666666668,-2.3449999999999736,8.698333333333354,4.213333333333333,27.0,14.738333333333332,17.068333333333335,30.983333333333334,3.2533333333333334,2.415,0.3996666666666666,14.7,100.0,91.7,0.00667,318.3,6.75,22.350000000000023,8.9,58.0,20.8,20.5,52.0,7.6,5.2,1.04,0.0,50.2,15.1,0.00148,80.9,-17.44999999999999,-2.1499999999999773,1.2,0.0,8.9,13.2,11.0,0.9,0.8,0.0,1.934551340463439,13.309864345247432,17.00183127391478,0.0010587289418081,43.21859309242828,5.396771411377978,6.666520623400352,1.669577458187816,15.608758225218727,3.0954855120894287,1.9753895537055193,9.496475954561015,1.7567457287711148,1.1984469116318837,0.279021902764321,0.0175882189497082,-0.3130925257015838,-0.4752097804945818,2.8075854404001113e-05,0.5049736037788275,0.2294109474854125,0.2597860516810226,-0.007129758266185,0.1619894415115309,-0.1494665184773548,-0.1120172270075021,0.4334815226451792,0.0643178660739094,0.0463378716310086,0.0101100305640455,0,47.964999999062,-99.212222222,2019-05-13,0,0,0,0.2283115684986114,95,False,False,False,False,False,False,False,True,28.319146110641466,0.23333333333333334,0
2.29,58.15,25.040000000000003,0.008398,208.575,18.941666666666688,31.628333333333355,2.618333333333333,41.86666666666667,8.848333333333331,9.958333333333334,62.516666666666666,6.728333333333334,4.783333333333333,2.2193333333333327,62.4,83.8,53.6,0.01445,264.4,26.25,38.450000000000045,5.3,66.0,15.4,11.4,77.0,10.2,7.2,3.53,0.0,30.0,6.0,0.00304,96.0,8.450000000000045,21.05000000000001,1.3,0.0,5.5,8.4,34.0,4.0,2.9,0.87,9.348844848429136,13.597947148987844,11.085293560990316,0.0031252870801469,36.956819961499214,3.9898325640168046,3.808240699092196,0.8756886179205228,16.498956195940263,2.0205190477256636,0.8666586538091119,9.763011261331664,1.4690236742665366,1.0108027612854162,0.6383934697521758,-0.1268352320088913,-0.2096582383995553,-0.2259627674353987,-0.0001286579605445,-0.762975826618505,-0.1916560155598779,-0.1372964712420117,-0.0098666296193387,0.4201722700750209,-0.0590914142817449,-0.0413309252570158,0.3746318421783828,-0.0425145873853848,-0.0380216726868574,-0.0115031953320366,0,32.8499999991398,-112.3437,2014-11-06,0,0,0,0.0,22,False,False,True,False,False,False,False,False,17330.90241026062,0.14,0
